city	id	owner	state	station_info	station_name	subchannels	website	source	collection_date
 San Bernardino		 San Bernardino Community College	CA	 Digital Educational Full-Power - 475 kW	KVCR		http://www.kvcr.org/	stationindex	2018-08-02 14:55:24.612585
 Inland Empire		 Venture Technologies Group	CA	 Digital Class-A - 8.1 kW	KHTV-CD			stationindex	2018-08-02 14:55:24.612585
 Los Angeles		 Community Television of Southern California	CA	 Digital Educational Full-Power - 155 kW	KCET	 28.1 KCET, 28.2 KCET Kids and Family, 28.3 V-me, 28.4 MHz Worldview	http://www.kcet.org/	stationindex	2018-08-02 14:55:24.612585
 San Bernardino		 Ion Media Networks	CA	 Digital Full-Power - 1000 kW	KPXN	 30.1 Ion, 30.2 Qubo, 30.3 Ion Life, 30.4 Ion Shop, 30.5 QVC, 30.6 HSN	http://www.iontelevision.com/	stationindex	2018-08-02 14:55:24.612585
 Los Angeles		 Univision Communications	CA	 Digital Full-Power - 392 kW	KMEX		http://www.kmex.com/	stationindex	2018-08-02 14:55:24.612585
 Altadena	" ""AlmaVision"""	 Almavision	CA	 Digital Low-Power - 15 kW	KTAV-LD			stationindex	2018-08-02 14:55:24.612585
 Santa Ana		 Trinity Broadcasting Network	CA	 Digital Full-Power - 1000 kW	KTBN	 40.1 KTBN/TBN, 40.2 Church Channel, 40.3 JCTV, 40.4 Enlace USA, 40.5 Smile of a Child	http://www.tbn.org/	stationindex	2018-08-02 14:55:24.612585
 Rancho Palos Verdes		 Rancho Palos Verdes Broadcasters	CA	 Digital Full-Power - 1000 kW	KXLA	 44.1 KXLA, 44.2 KVMD, 44.3 Sk-DTV, 44.4 Little Saigon TV, 44.5 TV Korea, 44.6 IAVC, 44.7 Unknown, 44.8 Unknown	http://www.kxlatv.com/	stationindex	2018-08-02 14:55:24.612585
 Van Nuys		 Capital Broadcasting Corporation	CA	 Digital Class-A - 6 kW	KSKJ-CD	 45.1 Al Jazeera English, 45.2 My Family TV, 45.3 Infomercials, 45.4 Infomercials		stationindex	2018-08-02 14:55:24.612585
 Ontario	" ""Unimas 46"""	 Univision Communications	CA	 Digital Full-Power - 400 kW	KFTR	 46.1 Unimas, 46.2 GetTV, 46.3 Escape, 46.4 Grit TV		stationindex	2018-08-02 14:55:24.612585
 Huntington Beach	" ""PBS SoCal"""	 KOCE-TV Foundation	CA	 Digital Educational Full-Power - 1000 kW	KOCE	 50.1 KOCE HD/PBS, 50.2 OC Channel, 50.3 Daystar, 50.4 KOCE SD	http://www.pbssocal.org/	stationindex	2018-08-02 14:55:24.612585
 Corona	" ""Telemundo 52"""	 NBC Universal	CA	 Digital Full-Power - 54 kW	KVEA		http://www.telemundola.com/	stationindex	2018-08-02 14:55:24.612585
 Avalon	" ""MeTV Hollywood"""	 Weigel Broadcasting	CA	 Digital Full-Power - 7.24 kW	KAZA	 54.1 KAZA/MeTV		stationindex	2018-08-02 14:55:24.612585
 Anaheim		 Ellis Communications	CA	 Digital Full-Power - 1000 kW	KDOC	 56.1 KDOC/Independent, 56.2 ESNE TV, 56.3 MeTV, 56.4 Comet, 56.5 KVLA Television, 56.6 S-Channel, 56.7 VieTV, 56.8 Charge!	http://www.kdoc.tv/	stationindex	2018-08-02 14:55:24.612585
 Ventura	" ""Azteca 57 Los Angeles"""	 Costa de Oro Media, LLC	CA	 Digital Full-Power - 1000 kW	KJLA	" 57.1 KJLA/Azteca America, 
57.2 VietFace TV (Vietnamese), 
57.3 VNA TV (Vietnamese), 
57.4 VietSky Television (Vietnamese), 
57.5 Saigon TV (Vietnamese), 
57.6 VBS TV (Vietnamese), 
57.7 Diamond King TV (Vietnamese), 
57.8 IBC TV (Vietnamese), 
57.9 Chung T'ien TV (Mandarin), 
57.10 VietPho, 
57.11 VSTAR, 
57.12 Viet Global Mall TV (Vietnamese)"		stationindex	2018-08-02 14:55:24.612585
 Los Angeles		 Los Angeles Unified School District	CA	 Digital Educational Full-Power - 162 kW	KLCS	 58.1 KLCS/PBS, 58.2 PBS Kids, 58.3 Create, 58.4 Telecourses	http://www.klcs.org/	stationindex	2018-08-02 14:55:24.612585
 Riverside	" ""Estrella TV KRCA 62"""	 Liberman Broadcasting	CA	 Digital Full-Power - 1000 kW	KRCA	 62.1 KRCA/Estrella TV, 62.2 HTTV USA, 62.3 Inmigrante TV		stationindex	2018-08-02 14:55:24.612585
 Oxnard		 Meruelo Broadcasting	CA	 Digital Full-Power - 1000 kW	KBEH	 63.1/Independent/Infomercials, 63.2 Retro Television Network, 63.3 JRES TV (Spanish Religious), 63.5 EEE Network (Spanish Religious)	http://www.canal63.com/	stationindex	2018-08-02 14:55:24.612585
 Barstow		 Multicultural Television Broadcasting	CA	 Digital Full-Power - 1000 kW	KILM			stationindex	2018-08-02 14:55:24.612585
 Chicago	" ""CBS 2"""	 CBS Corporation	IL	 Digital Full-Power - 8 kW	WBBM	 2.1 WBBM/CBS, 2.2 Decades	http://chicago.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Chicago	" ""NBC 5"""	 NBC Universal	IL	 Digital Full-Power - 350 kW	WMAQ	 5.1 WMAQ/NBC, 5.2 Cozi TV	http://www.nbcchicago.com/	stationindex	2018-08-02 14:55:24.612585
 Rochelle	" ""87.7 Me-TV FM"""	 Venture Technologies Group	IL	 Low-Power - 3 kW	WRME-LP			stationindex	2018-08-02 14:55:24.612585
 Chicago	" ""ABC 7"""	 ABC	IL	 Digital Full-Power - 1000 kW	WLS	 7.1 WLS/ABC, 7.2 Live Well HD, 7.3 AccuWeather 	http://www.abc7chicago.com/	stationindex	2018-08-02 14:55:24.612585
 Chicago		 Tribune	IL	 Digital Full-Power - 645 kW	WGN	 9.1 WGN, 9.2 Antenna TV, 9.3 ThisTV	http://www.wgntv.com/	stationindex	2018-08-02 14:55:24.612585
 Chicago		 Window to the World Communications	IL	 Digital Educational Full-Power - 300 kW	WTTW		http://www.wttw.com/	stationindex	2018-08-02 14:55:24.612585
 Chicago		 NRJ TV	IL	 Digital Class-A - 0.3 kW	WOCK-CD	 13.1 WOCK/MundoMax		stationindex	2018-08-02 14:55:24.612585
 Chicago		 City Colleges of Chicago	IL	 Digital Educational Full-Power - 98.9 kW	WYCC		http://www.wycc.org/	stationindex	2018-08-02 14:55:24.612585
 Aurora	" ""Polvision"""	 Polnet Communications	IL	 Digital Low-Power - 10 kW	WPVN-LD	 20.1 Polvision		stationindex	2018-08-02 14:55:24.612585
 Chicago	" ""Me TV"""	 Weigel Broadcasting	IL	 Digital Class-A - 15 kW	WWME-CD		http://metvnetwork.com/	stationindex	2018-08-02 14:55:24.612585
 Chicago		 Weigel Broadcasting	IL	 Digital Full-Power - 160 kW	WCIU	 26.1 WCIU, 26.2 Me TV/WWME-CA, 26.3 Me Too/WMEU-CA, 26.6 FBT Ethnic	http://www.wciu.com/	stationindex	2018-08-02 14:55:24.612585
 Chicago	" ""Fox Chicago"""	 Fox Television Stations	IL	 Digital Full-Power - 1000 kW	WFLD		http://www.fox32chicago.com/	stationindex	2018-08-02 14:55:24.612585
 Rochelle		 Venture Technologies Group	IL	 Digital Low-Power - 15 kW	WCHU-LD			stationindex	2018-08-02 14:55:24.612585
 LaSalle		 Trinity Broadcasting Network	IL	 Digital Full-Power - 16 kW	WWTO	 35.1 WWTO/TBN, 35.2 Church Channel, 35.3 JCTV, 35.4 Enlace USA, 35.5 Smile of a Child	http://www.tbn.org/	stationindex	2018-08-02 14:55:24.612585
